Layer,IN_B,MUL_B,AND_B,OUT_B
L0,64,381,0,0
L1,0,669,32,0
L2,0,442,0,32
L3,0,170,0,0
L4,0,170,0,0
L5,0,170,0,0
L6,0,170,0,0
L7,0,170,0,0
L8,0,170,0,0
L9,0,170,0,0
L10,0,170,0,0
L11,0,170,0,0
L12,0,170,0,0
L13,0,170,0,0
L14,0,170,0,0
L15,0,170,0,0
L16,0,170,0,0
L17,0,170,0,0
L18,0,170,0,0
L19,0,170,0,0
L20,0,170,0,0
L21,0,170,0,0
L22,0,170,0,0
L23,0,170,0,0
L24,0,170,0,0
L25,0,170,0,0
L26,0,170,0,0
L27,0,170,0,0
L28,0,170,0,0
L29,0,170,0,0
L30,0,170,0,0
L31,0,92,0,0
L32,0,29,0,0
L33,0,14,0,0
